year,age_group,state,donations
2011,40-44,Terengganu,169
2011,40-44,W.P. Kuala Lumpur,3351
2011,45-49,Johor,895
2011,45-49,Kedah,780
2011,45-49,Kelantan,168
2011,45-49,Malaysia,6807
2011,45-49,Melaka,435
2011,45-49,Negeri Sembilan,189
2011,45-49,Pahang,340
2011,45-49,Perak,506
2011,45-49,Pulau Pinang,0
2011,45-49,Sabah,382
2011,45-49,Sarawak,249
2011,45-49,Selangor,633
2011,45-49,Terengganu,133
2011,45-49,W.P. Kuala Lumpur,2097
2011,50-54,Johor,455
2011,50-54,Kedah,517
2011,50-54,Kelantan,103
2011,50-54,Malaysia,3944
2011,50-54,Melaka,261
2011,50-54,Negeri Sembilan,95
2011,50-54,Pahang,224
2011,50-54,Perak,336
2011,50-54,Pulau Pinang,0
2011,50-54,Sabah,213
2011,50-54,Sarawak,119
2011,50-54,Selangor,362
2011,50-54,Terengganu,83
2011,50-54,W.P. Kuala Lumpur,1176
2011,55-59,Johor,156
2011,55-59,Kedah,182
2011,55-59,Kelantan,56
2011,55-59,Malaysia,1557
2011,55-59,Melaka,143
2011,55-59,Negeri Sembilan,50
2011,55-59,Pahang,105
2011,55-59,Perak,105
2011,55-59,Pulau Pinang,0
2011,55-59,Sabah,96
2011,55-59,Sarawak,62
2011,55-59,Selangor,136
2011,55-59,Terengganu,20
2011,55-59,W.P. Kuala Lumpur,446
2011,60-64,Johor,12
2011,60-64,Kedah,16
2011,60-64,Kelantan,4
2011,60-64,Malaysia,118
2011,60-64,Melaka,14
2011,60-64,Negeri Sembilan,2
2011,60-64,Pahang,9
2011,60-64,Perak,9
2011,60-64,Pulau Pinang,0
2011,60-64,Sabah,6
2011,60-64,Sarawak,2
2011,60-64,Selangor,10
2011,60-64,Terengganu,6
2011,60-64,W.P. Kuala Lumpur,28
2012,17-24,Johor,4681
2012,17-24,Kedah,11374
2012,17-24,Kelantan,2466
2012,17-24,Malaysia,80786
2012,17-24,Melaka,6156
